 *  Executing task: platformio device monitor 

--- Terminal on /dev/cu.usbserial-10 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
70308 00:00:00.000 R 0df50b00 a1 6e 01 00 00 00 00 ff
70309 00:00:00.000 R 0df90300 a1 f0 ff ff ff 7f ff ff
70320 00:00:00.000 R 09f50300 a1 00 00 ff ff ff ff ff
70320 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
70321 00:00:00.000 R 1df11a00 a1 ff ff ff f0 ff ff ff
70490 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
70491 00:00:00.000 R 09fd0202 14 dd 02 da 43 fa ff ff
70494 00:00:00.000 R 09f80200 a2 fc 0f 7e 00 00 ff ff
70496 00:00:00.000 R 09f80200 a3 fd 55 7e 00 00 ff ff
70508 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
70508 00:00:00.000 R 09fd0202 15 df 02 e0 41 fa ff ff
70510 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
70696 00:00:00.000 R 09fd0202 16 e1 02 99 42 fa ff ff
70699 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
70699 00:00:00.000 R 15fd0600 a3 cf 71 ff ff ff ff ff
70701 00:00:00.000 R 15fd0700 a3 00 cf 71 ff 7f ff ff
70711 00:00:00.000 R 09f80200 a4 fc 0f 7e 00 00 ff ff
70713 00:00:00.000 R 15fd0c23 ff 00 00 18 72 04 ff ff
70723 00:00:00.000 R 09f80200 a5 fd 55 7e 00 00 ff ff
70725 00:00:00.000 R 09f11200 a5 ff ff ff 7f aa ff fc
70725 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
70910 00:00:00.000 R 19f21420 00 eb 04 0c 00 80 70 00
70912 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
70913 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
70924 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
70924 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
70935 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
71140 00:00:00.000 R 09f80200 a7 fc 0f 7e 00 00 ff ff
71142 00:00:00.000 R 09f80200 a8 fd 55 7e 00 00 ff ff
71144 00:00:00.000 R 09f11200 a8 ff ff ff 7f aa ff fc
71144 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
71155 00:00:00.000 R 09fd0202 1a f7 02 08 43 fa ff ff
71157 00:00:00.000 R 09f11200 a9 ff ff ff 7f aa ff fc
71341 00:00:00.000 R 09f80200 aa fd 55 7e 00 00 ff ff
71343 00:00:00.000 R 19fa0300 aa ff 82 00 ff 7f ff 7f
71344 00:00:00.000 R 0df80900 ac 4d 60 fd d5 17 ff 7f
71354 00:00:00.000 R 09f11200 aa ff ff ff 7f aa ff fc
71355 00:00:00.000 R 0df50b00 aa 71 01 00 00 00 00 ff
71356 00:00:00.000 R 0df90300 aa f0 ff ff ff 7f ff ff
71535 00:00:00.000 R 09f80200 ac fc 0f 7e 00 00 ff ff
71537 00:00:00.000 R 09f80200 ad fd 55 7e 00 00 ff ff
71539 00:00:00.000 R 09fd0202 1e 31 03 47 42 fa ff ff
71541 00:00:00.000 R 09f11200 ad ff ff ff 7f aa ff fc
71552 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
71552 00:00:00.000 R 09fd0202 1f 3e 03 0b 42 fa ff ff
71565 00:00:00.000 R 09f80200 af fd 55 7e 00 00 ff ff
