 *  Executing task: platformio device monitor 

--- Terminal on /dev/cu.usbserial-10 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
105310 00:00:00.000 R 09f11200 fc ff ff ff 7f f0 ff fc
105320 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
105321 00:00:00.000 R 1df11a00 fc ff ff ff f0 ff ff ff
105331 00:00:00.000 R 09f50300 fc 00 00 ff ff ff ff ff
105332 00:00:00.000 R 09fd0202 6a 4f 02 96 3a fa ff ff
105335 00:00:00.000 R 09f11200 00 ff ff ff 7f f0 ff fc
105510 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
105510 00:00:00.000 R 09fd0202 6c 42 02 2a 3a fa ff ff
105514 00:00:00.000 R 09f80200 01 fc 0f 7e 00 00 ff ff
105515 00:00:00.000 R 09f80200 02 fd 55 7e 00 00 ff ff
105527 00:00:00.000 R 09f11200 02 ff ff ff 7f f0 ff fc
105528 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
105528 00:00:00.000 R 09fd0202 6d 3b 02 d9 3c fa ff ff
105612 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
105613 00:00:00.000 R 09f11200 03 ff ff ff 7f f0 ff fc
105614 00:00:00.000 R 19f21420 00 ea 04 0c 00 80 70 00
105728 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
105729 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
105729 00:00:00.000 R 09fd0202 6e 31 02 2f 40 fa ff ff
105742 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
105742 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
105743 00:00:00.000 R 15fd0600 03 cf 71 ff ff ff ff ff
105919 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
105920 00:00:00.000 R 09f11200 05 ff ff ff 7f f0 ff fc
105931 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
105931 00:00:00.000 R 09fd0202 70 1d 02 e1 44 fa ff ff
105944 00:00:00.000 R 09f11200 06 ff ff ff 7f f0 ff fc
105945 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
105945 00:00:00.000 R 09fd0202 71 13 02 3f 45 fa ff ff
105958 00:00:00.000 R 09f80200 06 fc 0f 7e 00 00 ff ff
106132 00:00:00.000 R 09fd0202 72 0a 02 a2 44 fa ff ff
106136 00:00:00.000 R 15fd0800 07 00 00 cf 71 ff ff ff
106137 00:00:00.000 R 09f11200 08 ff ff ff 7f f0 ff fc
106137 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
106148 00:00:00.000 R 09fd0202 73 01 02 e6 43 fa ff ff
106150 00:00:00.000 R 0df50b23 ff 6f 01 00 00 00 00 ff
106161 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
106331 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
106331 00:00:00.000 R 1df11a00 09 ff ff ff f0 ff ff ff
106331 00:00:00.000 R 09f50300 09 00 00 ff ff ff ff ff
106342 00:00:00.000 R 09fd0202 74 f6 01 97 43 fa ff ff
106344 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
106345 00:00:00.000 R 09fd0202 75 eb 01 e4 43 fa ff ff
106357 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
106358 00:00:00.000 R 09f80200 0a fc 0f 7e 00 00 ff ff
106435 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
106435 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
106436 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
106448 00:00:00.000 R 09fd0202 77 dc 01 8b 42 fa ff ff
106562 00:00:00.000 R 19f21420 00 ea 04 0e 00 80 70 00
106564 00:00:00.000 R 19f21420 00 ea 04 0e 00 80 70 00
106565 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
106576 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
106576 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
106577 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
106741 00:00:00.000 R 09fd0202 78 d5 01 18 40 fa ff ff
106744 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
106745 00:00:00.000 R 15fd0600 0b cf 71 ff ff ff ff ff
106746 00:00:00.000 R 15fd0700 0b 00 cf 71 ff 7f ff ff
106757 00:00:00.000 R 09f80200 0c fc 0f 7e 00 00 ff ff
106758 00:00:00.000 R 09f80200 0d fd 21 7e 00 00 ff ff
106770 00:00:00.000 R 15fd0c23 ff 00 00 1e 72 04 ff ff
106943 00:00:00.000 R 09f11200 0f ff ff ff 7f f0 ff fc
106944 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
106944 00:00:00.000 R 09f80200 0f fc 0f 7e 00 00 ff ff
106957 00:00:00.000 R 09f80200 10 fd 21 7e 00 00 ff ff
106958 00:00:00.000 R 09fd0202 7b cb 01 62 3e fa ff ff
106961 00:00:00.000 R 09f11200 10 ff ff ff 7f f0 ff fc
106971 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
106972 00:00:00.000 R 09fd0202 7c d6 01 1e 3e fa ff ff
107146 00:00:00.000 R 0df50b23 ff 71 01 00 00 00 00 ff
107148 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
107149 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
107160 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
107160 00:00:00.000 R 0df80500 11 ac 4d 90 54 db 17 00 00 dd 6d d9 89 09 07 00 50 08 92 34 05 b9 ff 00 84 6d ff ff ff ff ff 20 fc 08 82 00 ff 7f ff ff ff 7f ff
107172 00:00:00.000 R 09fd0202 7d e1 01 13 3d fa ff ff
107185 00:00:00.000 R 15fd0600 11 cf 71 ff ff ff ff ff
107186 00:00:00.000 R 15fd0700 11 00 cf 71 ff 7f ff ff
107187 00:00:00.000 R 09f80200 12 fd 21 7e 00 00 ff ff
107274 00:00:00.000 R 19fa0300 12 ff 82 00 ff 7f ff 7f
107274 00:00:00.000 R 0df50b00 12 6e 01 00 00 00 00 ff
107276 00:00:00.000 R 0df80900 ac 4d 90 54 db 17 ff 7f
107286 00:00:00.000 R 0df90300 12 f0 ff ff ff 7f ff ff
107287 00:00:00.000 R 09f11200 12 ff ff ff 7f f0 ff fc
107355 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
107355 00:00:00.000 R 1df11a00 12 ff ff ff f0 ff ff ff
107356 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
107367 00:00:00.000 R 19f21420 00 ea 04 0c 00 80 70 00
107369 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
107369 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
107380 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
107381 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
107596 00:00:00.000 R 09f11200 15 ff ff ff 7f f0 ff fc
107597 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
107597 00:00:00.000 R 09fd0202 81 4f 02 ca 3c fa ff ff
107610 00:00:00.000 R 09f11200 16 ff ff ff 7f f0 ff fc
107610 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
107611 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
107779 00:00:00.000 R 09f80200 17 fd 21 7e 00 00 ff ff
107781 00:00:00.000 R 09f11200 17 ff ff ff 7f f0 ff fc
107781 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
107792 00:00:00.000 R 09fd0202 83 9c 02 fb 3d fa ff ff
107795 00:00:00.000 R 09f11200 18 ff ff ff 7f f0 ff fc
107795 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
107979 00:00:00.000 R 09f11200 19 ff ff ff 7f f0 ff fc
107980 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
107980 00:00:00.000 R 09fd0202 84 b8 02 07 3e fa ff ff
107994 00:00:00.000 R 09f80200 19 fc 0f 7e 00 00 ff ff
107995 00:00:00.000 R 09f80200 1a fd 21 7e 00 00 ff ff
107997 00:00:00.000 R 09f11200 1a ff ff ff 7f f0 ff fc
108073 00:00:00.000 R 15fd0800 1a 00 00 cf 71 ff ff ff
108074 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
108075 00:00:00.000 R 09f11200 1b ff ff ff 7f f0 ff fc
108188 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
108189 00:00:00.000 R 09fd0202 86 e6 02 ba 3d fa ff ff
108191 00:00:00.000 R 19f21420 00 eb 04 0d 00 80 70 00
108203 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
108203 00:00:00.000 R 0df50b23 ff 71 01 00 00 00 00 ff
108204 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
108379 00:00:00.000 R 0df80900 ac 4d 90 54 db 17 ff 7f
108380 00:00:00.000 R 0df90300 1c f0 ff ff ff 7f ff ff
108380 00:00:00.000 R 09f11200 1c ff ff ff 7f f0 ff fc
108391 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
108391 00:00:00.000 R 1df11a00 1c ff ff ff f0 ff ff ff
108402 00:00:00.000 R 09fd0202 87 f7 02 48 3e fa ff ff
108405 00:00:00.000 R 09f50300 1c 00 00 ff ff ff ff ff
108405 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
108580 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
108581 00:00:00.000 R 09f11200 1d ff ff ff 7f f0 ff fc
108592 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
108592 00:00:00.000 R 09fd0202 88 02 03 28 3e fa ff ff
108605 00:00:00.000 R 09f11200 1e ff ff ff 7f f0 ff fc
108606 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
108606 00:00:00.000 R 09fd0202 89 0f 03 b9 3d fa ff ff
108619 00:00:00.000 R 09f80200 1e fc 0f 7e 00 00 ff ff
108793 00:00:00.000 R 09f11200 22 ff ff ff 7f f0 ff fc
108794 00:00:00.000 R 09fd0202 8d 31 03 ad 3e fa ff ff
108797 00:00:00.000 R 09f11200 23 ff ff ff 7f f0 ff fc
108797 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
108808 00:00:00.000 R 09fd0202 8e 3d 03 f1 3e fa ff ff
108810 00:00:00.000 R 09f80200 23 fc 0f 7e 00 00 ff ff
108995 00:00:00.000 R 09f11200 24 ff ff ff 7f f0 ff fc
108996 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
108996 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
109008 00:00:00.000 R 09fd0202 8f 47 03 8f 3e fa ff ff
109011 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
109011 00:00:00.000 R 09f11200 25 ff ff ff 7f f0 ff fc
109186 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
109186 00:00:00.000 R 09fd0202 90 50 03 df 3d fa ff ff
109190 00:00:00.000 R 0df50b23 ff 71 01 00 00 00 00 ff
109258 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
109258 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
109259 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
109269 00:00:00.000 R 0df80500 25 ac 4d e0 17 dc 17 00 00 dd 6d d9 89 09 07 00 50 08 92 34 05 b9 ff e0 4c 7e ff ff ff ff ff 20 fc 08 82 00 ff 7f ff ff ff 7f ff
109282 00:00:00.000 R 15fd0600 25 cf 71 ff ff ff ff ff
109436 00:00:00.000 R 09fd0202 92 5d 03 2a 3e fa ff ff
109439 00:00:00.000 R 09f11200 28 ff ff ff 7f f0 ff fc
109439 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
109450 00:00:00.000 R 09f80200 28 fc 0f 7e 00 00 ff ff
109451 00:00:00.000 R 09f80200 29 fd 21 7e 00 00 ff ff
109453 00:00:00.000 R 09fd0202 93 5e 03 be 3e fa ff ff
109638 00:00:00.000 R 09f11200 2a ff ff ff 7f f0 ff fc
109639 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
109639 00:00:00.000 R 09fd0202 95 51 03 cb 3e fa ff ff
109652 00:00:00.000 R 15fd0723 ff c0 d0 71 ff 7f ff ff
109653 00:00:00.000 R 15fd0600 2a cf 71 ff ff ff ff ff
109711 00:00:00.000 R 15fd0700 2a 00 cf 71 ff 7f ff ff
109711 00:00:00.000 R 09f80200 2a fc 0f 7e 00 00 ff ff
109713 00:00:00.000 R 09f80200 2b fd ff ff 00 00 ff ff
109841 00:00:00.000 R 09f11200 2b ff ff ff 7f f0 ff fc
109842 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
109842 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
109854 00:00:00.000 R 19f21420 00 ea 04 0d 00 80 70 00
109855 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
109856 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
110020 00:00:00.000 R 09f11200 2e ff ff ff 7f f0 ff fc
110021 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
110021 00:00:00.000 R 09fd0202 99 3e 03 f5 3f fa ff ff
110034 00:00:00.000 R 15fd0800 2e 00 00 cf 71 ff ff ff
110035 00:00:00.000 R 09f11200 2f ff ff ff 7f f0 ff fc
110036 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
110046 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
110210 00:00:00.000 R 0df80500 2f ac 4d e0 17 dc 17 00 00 dd 6d d9 89 09 07 00 50 08 92 34 05 b9 ff e0 4c 7e ff ff ff ff ff 20 fc 08 82 00 ff 7f ff ff ff 7f ff
110223 00:00:00.000 R 15fd0600 2f cf 71 ff ff ff ff ff
110224 00:00:00.000 R 15fd0700 2f 00 cf 71 ff 7f ff ff
110225 00:00:00.000 R 0df01000 2f f0 ac 4d e0 17 dc 17
110235 00:00:00.000 R 09f80200 2f fc 0f 7e 00 00 ff ff
110237 00:00:00.000 R 09f80200 30 fd 55 7e 00 00 ff ff
110249 00:00:00.000 R 19fa0300 30 ff 82 00 ff 7f ff 7f
110249 00:00:00.000 R 0df50b00 30 6e 01 00 00 00 00 ff
110421 00:00:00.000 R 09fd0202 9c 38 03 e1 40 fa ff ff
110425 00:00:00.000 R 09f11200 32 ff ff ff 7f f0 ff fc
110426 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
110426 00:00:00.000 R 09f80200 32 fc 0f 7e 00 00 ff ff
110438 00:00:00.000 R 09f80200 33 fd 55 7e 00 00 ff ff
110439 00:00:00.000 R 09fd0202 9d 3b 03 04 41 fa ff ff
110442 00:00:00.000 R 09f11200 33 ff ff ff 7f f0 ff fc
110452 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
110627 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
110627 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
110629 00:00:00.000 R 19f21420 00 ea 04 0d 00 80 70 00
110640 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
110640 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
110641 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
110652 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
110662 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
110867 00:00:00.000 R 15fd0600 34 cf 71 ff ff ff ff ff
110868 00:00:00.000 R 15fd0700 34 00 cf 71 ff 7f ff ff
110869 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
110880 00:00:00.000 R 09f80200 34 fc 0f 7e 00 00 ff ff
110881 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
110892 00:00:00.000 R 09f80200 35 fd 55 7e 00 00 ff ff
111059 00:00:00.000 R 09f11200 35 ff ff ff 7f aa ff fc
111060 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
111060 00:00:00.000 R 09f80200 36 fc 0f 7e 00 00 ff ff
111072 00:00:00.000 R 09f80200 37 fd 55 7e 00 00 ff ff
111074 00:00:00.000 R 1df11a03 ff ff ff ff f6 ff ff ff
111074 00:00:00.000 R 09fd0202 a2 54 03 fb 40 fa ff ff
111255 00:00:00.000 R 0df50b23 ff 71 01 00 00 00 00 ff
111257 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
111257 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
111268 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
111268 00:00:00.000 R 0df80500 38 ac 4d e0 17 dc 17 00 00 dd 6d d9 89 09 07 00 50 08 92 34 05 b9 ff e0 4c 7e ff ff ff ff ff 20 fc 08 82 00 ff 7f ff ff ff 7f ff
111290 00:00:00.000 R 15fd0600 38 cf 71 ff ff ff ff ff
111291 00:00:00.000 R 09f11200 3a ff ff ff 7f aa ff fc
111292 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
111302 00:00:00.000 R 09fd0202 a5 5f 03 63 40 fa ff ff
111371 00:00:00.000 R 09f11200 3b ff ff ff 7f aa ff fc
111371 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
111372 00:00:00.000 R 09fd0202 a6 61 03 a0 3f fa ff ff
111446 00:00:00.000 R 09f80200 3b fc 0f 7e 00 00 ff ff
111449 00:00:00.000 R 09f80200 3c fd 55 7e 00 00 ff ff
111450 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
111451 00:00:00.000 R 19f21420 00 ea 04 0e 00 80 70 00
111463 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
111463 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
111475 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
111475 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
111651 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
111652 00:00:00.000 R 09f11200 3c ff ff ff 7f aa ff fc
111652 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
111663 00:00:00.000 R 09fd0202 a7 5f 03 0f 3f fa ff ff
111666 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
111667 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
111678 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
111688 00:00:00.000 R 09f11200 3d ff ff ff 7f aa ff fc
111852 00:00:00.000 R 09f11200 3f ff ff ff 7f aa ff fc
111853 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
111853 00:00:00.000 R 09fd0202 aa 52 03 37 3f fa ff ff
111867 00:00:00.000 R 09f11200 40 ff ff ff 7f aa ff fc
111867 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
111868 00:00:00.000 R 09fd0202 ab 4e 03 04 3f fa ff ff
111880 00:00:00.000 R 09f80200 40 fc 0f 7e 00 00 ff ff
111882 00:00:00.000 R 09f80200 41 fd 55 7e 00 00 ff ff
112051 00:00:00.000 R 15fd0800 41 00 00 cf 71 ff ff ff
112053 00:00:00.000 R 09f11200 42 ff ff ff 7f aa ff fc
112105 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
112106 00:00:00.000 R 09fd0202 ad 4c 03 ee 3e fa ff ff
112108 00:00:00.000 R 0df50b23 ff 71 01 00 00 00 00 ff
112120 00:00:00.000 R 09f50323 ff 00 00 ff ff 00 ff ff
112120 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
112120 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
112131 00:00:00.000 R 0df01000 42 f0 ac 4d e0 17 dc 17
112131 00:00:00.000 R 09f80200 42 fc 0f 7e 00 00 ff ff
112143 00:00:00.000 R 09f80200 43 fd 55 7e 00 00 ff ff
112145 00:00:00.000 R 19fa0300 43 ff 82 00 ff 7f ff 7f
112216 00:00:00.000 R 0df80900 ac 4d e0 17 dc 17 ff 7f
112216 00:00:00.000 R 0df50b00 43 71 01 00 00 00 00 ff
112276 00:00:00.000 R 0df90300 43 f0 ff ff ff 7f ff ff
112276 00:00:00.000 R 09f11200 43 ff ff ff 7f aa ff fc
112277 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
112288 00:00:00.000 R 19f21420 00 ea 04 0d 00 80 70 00
112290 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
112290 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
112913 00:00:00.000 R 15fd060f 00 00 00 40 0b f5 03 ff
112915 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
112915 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
112926 00:00:00.000 R 09f11200 45 ff ff ff 7f aa ff fc
112937 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
112937 00:00:00.000 R 09fd0202 b0 4d 03 a8 3f fa ff ff
113001 00:00:00.000 R 09f80200 47 fc 0f 7e 00 00 ff ff
113117 00:00:00.000 R 09f80200 48 fd 55 7e 00 00 ff ff
113119 00:00:00.000 R 09f11200 48 ff ff ff 7f aa ff fc
113120 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
113131 00:00:00.000 R 15fd0c23 ff 00 00 17 72 04 ff ff
113131 00:00:00.000 R 09fd0202 b3 4d 03 15 40 fa ff ff
113133 00:00:00.000 R 09f11200 49 ff ff ff 7f aa ff fc
113312 00:00:00.000 R 19f51323 ff ff ff ff ff ff 57 a7 0f 00 57 a7 0f 00
113313 00:00:00.000 R 09fd0202 b7 48 03 21 40 fa ff ff
113316 00:00:00.000 R 15fd0723 ff c0 cf 71 ff 7f ff ff
113327 00:00:00.000 R 0df80500 4c ac 4d ff ff ff ff ff ff ff ff ff ff ff 7f ff ff ff ff ff ff ff 7f ff ff ff ff ff ff ff 7f f0 fc ff ff 7f ff 7f ff ff ff 7f ff
113339 00:00:00.000 R 15fd0600 4c cf 71 ff ff ff ff ff
113340 00:00:00.000 R 15fd0700 4c 00 cf 71 ff 7f ff ff
113514 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
113515 00:00:00.000 R 1df11a00 4d ff ff ff aa ff ff ff
113515 00:00:00.000 R 09f50300 4d 00 00 ff ff ff ff ff
113526 00:00:00.000 R 09fd0202 b8 46 03 60 41 fa ff ff
113529 00:00:00.000 R 09f11200 4e ff ff ff 7f aa ff fc
113529 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
113704 00:00:00.000 R 09f11200 51 ff ff ff 7f aa ff fc
113704 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
113705 00:00:00.000 R 15fd0723 ff c0 ce 71 ff 7f ff ff
113715 00:00:00.000 R 09fd0202 bc 47 03 55 43 fa ff ff
113718 00:00:00.000 R 15fd0600 51 cf 71 ff ff ff ff ff
113719 00:00:00.000 R 15fd0700 51 00 cf 71 ff 7f ff ff
113730 00:00:00.000 R 09f80200 51 fc 0f 7e 00 00 ff ff
113731 00:00:00.000 R 09f80200 52 fd 21 7e 00 00 ff ff
113906 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
113908 00:00:00.000 R 19f21420 00 eb 04 0d 00 80 70 00
113910 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
113920 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
113921 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
113922 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
113932 00:00:00.000 R 09fd0202 be 45 03 0d 43 fa ff ff
113945 00:00:00.000 R 09f11200 54 ff ff ff 7f aa ff fc
114103 00:00:00.000 R 09fd0202 bf 42 03 c1 42 fa ff ff
114107 00:00:00.000 R 09f11200 55 ff ff ff 7f aa ff fc
114107 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
114108 00:00:00.000 R 09fd0202 c0 3e 03 20 42 fa ff ff
114120 00:00:00.000 R 15fd0800 55 00 00 cf 71 ff ff ff
114121 00:00:00.000 R 09f11200 56 ff ff ff 7f aa ff fc
114122 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
114132 00:00:00.000 R 0df50b23 ff 71 01 00 00 00 00 ff
114352 00:00:00.000 R 0df80500 56 ac 4d 20 b4 dc 17 00 00 dd 6d d9 89 09 07 00 50 08 92 34 05 b9 ff 60 9c 90 ff ff ff ff ff 20 fc 08 82 00 ff 7f ff ff ff 7f ff
114365 00:00:00.000 R 15fd0600 56 cf 71 ff ff ff ff ff
114366 00:00:00.000 R 15fd0700 56 00 cf 71 ff 7f ff ff
114367 00:00:00.000 R 0df01000 56 f0 ac 4d 20 b4 dc 17
114378 00:00:00.000 R 09f80200 56 fc 0f 7e 00 00 ff ff
114379 00:00:00.000 R 09f80200 57 fd 21 7e 00 00 ff ff
114556 00:00:00.000 R 09f80200 5a fd 21 7e 00 00 ff ff
114558 00:00:00.000 R 09f11200 5a ff ff ff 7f f0 ff fc
114558 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
114569 00:00:00.000 R 09fd0202 c4 2b 03 fc 3e fa ff ff
114745 00:00:00.000 R 09f20020 00 00 00 ff ff 00 ff ff
114747 00:00:00.000 R 19f21420 00 ea 04 0d 00 80 70 00
114748 00:00:00.000 R 19f21920 00 c2 01 00 00 01 00 50
114759 00:00:00.000 R 19f21421 01 06 00 00 00 80 70 00
114760 00:00:00.000 R 19f21921 00 c2 01 00 00 01 00 50
114760 00:00:00.000 R 09f20120 00 ff ff ff ff f3 89 06 00 ff 7f ff ff ff ff ff ff ff ff ff 01 00 00 00 7f 7f
115128 00:00:00.000 R 09f11200 5b ff ff ff 7f f0 ff fc
115129 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
115129 00:00:00.000 R 09fd0202 c5 2d 03 9c 3e fa ff ff
115142 00:00:00.000 R 15fd0723 ff c0 ce 71 ff 7f ff ff
115143 00:00:00.000 R 15fd0600 5b cf 71 ff ff ff ff ff
115144 00:00:00.000 R 15fd0700 5b 00 cf 71 ff 7f ff ff
115155 00:00:00.000 R 09f80200 5b fc 0f 7e 00 00 ff ff
115156 00:00:00.000 R 09f80200 5c fd 21 7e 00 00 ff ff
115331 00:00:00.000 R 09f80100 80 8c 39 1e 08 25 cf fe
